"","param","infection","EE","cilow","cihigh"
"1","gamma","TB",0.313241365155965,0.148241589565171,0.483329677758636
"2","betaB","TB",-0.410583881072722,-0.621903319707678,-0.243309395782715
"3","betaT","TB",0.299909091495844,0.131682839794398,0.474861591327905
"4","epsilon","TB",0.0540756291487939,-0.134276195792532,0.242593737295711
"5","rhoT","TB",0.199943282575178,0.0146752708199682,0.390156268287243
"6","rhoB","TB",-0.0566888806468233,-0.257895999517856,0.13519817524422
"7","theta","TB",0.11426804016635,-0.0705266621028292,0.286424424936727
"8","K","TB",0.355098185100801,0.186081374219543,0.536761059588393
"9","pchange_muB","TB",0.102849924025685,-0.092744938323668,0.29499484565155
"10","pchange_muT","TB",-0.150809829362125,-0.339897566285035,0.0357745961961265
"11","pchange_muC","TB",0.0898435917709933,-0.0942716270714939,0.281516246520529
"12","pchange_muR","TB",-0.0947278921767089,-0.292004077558033,0.101456003620687
"13","pchange_muRC","TB",-0.101981798178811,-0.296641184884652,0.0950366797045392
"14","gamma","brucellosis",-0.294871149131168,-0.530073926014562,-0.0788167246931256
"15","betaB","brucellosis",0.320152213211001,0.0757301433608668,0.535765559363746
"16","betaT","brucellosis",0.0205577749617895,-0.242643354500315,0.274791257534008
"17","epsilon","brucellosis",-0.0796186743140998,-0.308217869324186,0.140925956027097
"18","rhoT","brucellosis",-0.0326170469915894,-0.251554709142513,0.174204826593458
"19","rhoB","brucellosis",0.044605288276092,-0.189353541351106,0.282148494706557
"20","theta","brucellosis",-0.0325666660464796,-0.273735979917134,0.204105830771393
"21","K","brucellosis",0.134452719431408,-0.0750383523290956,0.35013486877705
"22","pchange_muB","brucellosis",-0.0931537652206923,-0.322276740782019,0.13060763212946
"23","pchange_muT","brucellosis",-0.162316419280053,-0.387022987622896,0.0409316502985113
"24","pchange_muC","brucellosis",-0.146803609444595,-0.381173081603825,0.0698066513613767
"25","pchange_muR","brucellosis",-0.103801205078236,-0.354289295523231,0.126118997473465
"26","pchange_muRC","brucellosis",-0.1271404666662,-0.387722923390532,0.124179999282005
